Section;Table;Round;Board;PairNS;PairEW;Declarer;NS/EW;Contract;Result;LeadCard;Score
1;2;1;1;5;4;5;S;3 D;-1;HK;-50
1;3;1;1;2;7;2;S;4 D;-2;HK;-100
1;4;1;1;3;6;6;E;3 NT;-1;S5;50
1;3;1;2;2;7;2;S;2 NT;=;C8;120
1;2;1;2;5;4;5;S;2 D;+1;SK;110
1;4;1;2;3;6;6;E;1 NT;+1;D3;-120
1;3;1;3;2;7;2;S;3 NT;+1;S2;430
1;2;1;3;5;4;5;N;3 NT;+1;S6;430
1;2;1;2;5;4;5;S;2 D;+1;SK;110
1;1;1;1;8;1;8;S;4 D x;-2;HK;-300
1;1;1;2;8;1;8;S;2 NT;=;H6;120
1;4;1;3;3;6;3;N;3 NT;=;S6;400
1;1;1;3;8;1;8;S;4 NT;-1;S2;-50
1;1;2;4;8;2;8;N;2 H;+2;S2;170
1;2;2;4;6;5;6;N;3 NT;+1;CJ;630
1;3;2;4;3;1;3;S;5 D;=;C6;600
1;4;2;4;4;7;4;N;4 H;=;H6;620
1;4;2;5;4;7;7;W;3 NT;-1;SK;50
1;4;2;5;4;7;7;W;3 NT;-1;;50
1;3;2;5;3;1;3;S;2 S;-1;HK;-100
1;2;2;5;6;5;5;W;3 NT;-2;SK;100
1;1;2;5;8;2;8;S;4 S x;-1;HK;-200
1;4;2;6;4;7;4;S;4 H;+2;C5;480
1;3;2;6;3;1;3;N;4 H;+2;DA;480
1;2;2;6;6;5;6;S;4 H;+2;C5;480
1;1;2;6;8;2;8;N;4 H;+2;DA;480
1;4;3;7;5;1;5;N;2 S;-2;HK;-200
1;2;3;7;7;6;6;E;3 H;+1;SA;-170
1;2;3;7;7;6;6;E;3 H;+1;SA;-170
1;3;3;7;4;2;2;E;3 H;+1;SA;-170
1;4;3;8;5;1;5;N;4 C;-1;HK;-50
1;1;3;7;8;3;8;N;3 S x;-3;HK;-800
1;2;3;8;7;6;7;N;4 H;-1;D3;-50
1;3;3;8;4;2;2;E;3 H;=;CT;-140
1;1;3;8;8;3;8;N;3 C;=;HK;110
1;4;3;9;5;1;1;W;4 S;-1;DK;100
1;2;3;8;7;6;6;E;4 H;-1;D3;50
1;3;3;9;4;2;2;E;1 H;+1;CA;-110
1;2;3;9;7;6;6;W;4 S;-2;DK;200
1;1;3;9;8;3;3;E;2 H;+1;CA;-140
1;4;4;10;6;2;2;E;1 H;-1;DA;100
1;4;4;11;6;2;6;S;2 S;=;H4;110
1;4;4;11;6;2;6;S;2 S;=;H4;110
1;1;4;10;8;4;4;W;1 NT;-3;S2;300
1;3;4;10;5;3;5;S;4 S x;-2;H4;-500
1;2;4;11;1;7;1;S;2 NT x;-1;CQ;-100
1;2;4;10;1;7;7;E;1 NT;-1;S6;100
1;2;4;12;1;7;7;W;1 NT;=;H7;-90
1;1;4;11;8;4;4;E;3 H;=;DA;-140
1;3;4;11;5;3;5;S;3 D;-2;H4;-100
1;4;4;12;6;2;6;S;2 S;=;HA;110
1;1;4;12;8;4;4;W;2 H x;-1;S6;100
1;3;4;12;5;3;5;S;2 S;-2;HA;-200
1;1;5;13;8;5;5;E;2 C;=;DT;-90
1;2;5;13;2;1;1;E;3 NT;=;H7;-600
1;4;5;13;7;3;3;E;3 NT;=;HQ;-600
